Algorithm,Function,Instance,Dimension,ERT,min_ERT,RELERT
BIPOP-CMA-ES,22,4,5,214714.53333333333,418.55555555555554,512.9893283780196
BIPOP-CMA-ES,22,4,10,inf,2093.6153846153848,1000000.0
BIPOP-CMA-ES,22,5,2,1171.6153846153845,91.5,12.804539722572509
BIPOP-CMA-ES,22,5,3,15378.0,191.33333333333334,80.37282229965156
BIPOP-CMA-ES,22,5,5,33780.52380952381,418.55555555555554,80.70738367021882
BIPOP-CMA-ES,22,5,10,inf,2093.6153846153848,1000000.0
BIPOP-CMA-ES,23,1,2,2272.6666666666665,542.8260869565217,4.186730743558937
BIPOP-CMA-ES,23,1,3,15686.777777777777,1097.6818181818182,14.290824096695975
BIPOP-CMA-ES,23,1,5,35332.96551724138,2303.3835616438355,15.3395926347697
BIPOP-CMA-ES,23,1,10,238854.625,33065.43965517241,7.223694210357674
BIPOP-CMA-ES,23,2,2,8805.08695652174,542.8260869565217,16.220824989987985
BIPOP-CMA-ES,23,2,3,2418.35,1097.6818181818182,2.203142987287258
BIPOP-CMA-ES,23,2,5,175706.0344827586,2303.3835616438355,76.28170896442624
BIPOP-CMA-ES,23,2,10,471241.8125,33065.43965517241,14.25179333510794
BIPOP-CMA-ES,23,3,2,890.1333333333333,542.8260869565217,1.6398131090642103
BIPOP-CMA-ES,23,3,3,3513.48,1097.6818181818182,3.2008182533438236
BIPOP-CMA-ES,23,3,5,105287.03448275862,2303.3835616438355,45.709727305520644
BIPOP-CMA-ES,23,3,10,132910.03125,33065.43965517241,4.019605746545969
BIPOP-CMA-ES,23,4,2,8026.0,542.8260869565217,14.785582699239086
BIPOP-CMA-ES,23,4,3,31741.535714285714,1097.6818181818182,28.91688209508823
BIPOP-CMA-ES,23,4,5,23008.48275862069,2303.3835616438355,9.988993210579496
BIPOP-CMA-ES,23,4,10,131723.0,33065.43965517241,3.9837062919378003
BIPOP-CMA-ES,23,5,2,3761.6470588235293,542.8260869565217,6.929746283775825
BIPOP-CMA-ES,23,5,3,9824.96,1097.6818181818182,8.950644747194499
BIPOP-CMA-ES,23,5,5,37776.83870967742,2303.3835616438355,16.4005853557093
BIPOP-CMA-ES,23,5,10,109255.96875,33065.43965517241,3.30423456906641
BIPOP-CMA-ES,24,1,2,286942.5,525.5555555555555,545.9793868921776
BIPOP-CMA-ES,24,1,3,948867.5882352941,6952.75,136.47371014854468
BIPOP-CMA-ES,24,1,5,2829853.3333333335,102048.92307692308,27.730359596251976
BIPOP-CMA-ES,24,1,10,inf,695303.2166666667,1000000.0
BIPOP-CMA-ES,24,2,2,255875.41666666666,525.5555555555555,486.86654334038053
BIPOP-CMA-ES,24,2,3,2200413.0,6952.75,316.480960770918
